LSOA Code,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against the Person,lsoa11cd,lsoa11nm,IMDScore,IncScore,EmpScore,EduScore,HDDScore,CriScore,BHSScore,EnvScore,IDCScore,IDOScore,CYPScore,ASScore,GBScore,WBScore,IndScore,OutScore
E01003648,2,4,2,0,0,1,1,5,24,14,E01003648,Redbridge 012B,7.595,0.063,0.042,7.349,-0.838,-0.263,17.195,17.844,0.081,0.095,-0.92,0.268,-0.427,1.077,-0.311,0.625
E01003649,1,11,2,1,0,3,0,7,23,18,E01003649,Redbridge 012C,9.01,0.084,0.045,4.919,-0.861,-0.536,24.438,15.442,0.114,0.119,-1.23,0.242,-0.168,2.152,-0.65,0.672
E01003650,6,13,4,3,1,8,4,7,28,24,E01003650,Redbridge 015B,16.216,0.134,0.084,6.832,-0.333,0.077,23.381,20.086,0.139,0.201,-1.042,0.266,-0.916,2.959,-0.196,0.725
E01003651,8,7,2,1,0,3,2,4,25,20,E01003651,Redbridge 012D,11.315,0.081,0.046,2.931,-1.085,0.367,27.198,22.032,0.057,0.182,-1.523,0.212,0.047,2.187,-0.407,1.103
E01003652,2,4,3,2,1,3,3,5,28,15,E01003652,Redbridge 015C,8.078,0.066,0.05,4.587,-1.386,-0.081,19.08,18.348,0.054,0.172,-1.506,0.243,-0.887,2.052,-0.265,0.624
E01003653,18,13,11,6,1,13,8,51,33,56,E01003653,Redbridge 015D,14.35,0.093,0.057,7.131,-1.251,0.652,26.796,26.48,0.083,0.173,-1.188,0.276,-0.954,3.61,0.033,1.032
E01003654,10,14,3,2,0,4,8,2,12,25,E01003654,Redbridge 004A,18.26,0.125,0.082,11.037,-0.345,0.64,23.687,23.925,0.153,0.202,-0.205,0.257,-0.325,2.293,-0.102,0.974
E01003655,10,9,5,2,1,8,5,10,19,33,E01003655,Redbridge 004B,10.104,0.063,0.049,5.622,-0.997,0.57,18.601,21.062,0.065,0.088,-0.543,0.204,-0.443,1.421,-0.12,0.725
E01003656,18,8,1,0,0,9,8,12,26,41,E01003656,Redbridge 005A,27.96,0.161,0.121,25.992,-0.158,0.768,36.3,24.167,0.187,0.234,0.459,0.343,0.342,3.167,-0.034,0.911
E01003657,11,20,1,2,1,7,0,12,46,26,E01003657,Redbridge 005B,12.312,0.072,0.067,13.897,-1.341,0.297,23.42,17.612,0.093,0.071,-0.36,0.314,-0.193,1.992,-0.311,0.604
E01003658,11,16,3,1,2,7,3,12,23,21,E01003658,Redbridge 004C,22.802,0.162,0.116,20.488,-0.15,0.323,26.709,17.571,0.184,0.304,0.064,0.341,-1.248,3.726,-0.619,0.861
E01003659,6,9,0,3,0,3,1,19,20,6,E01003659,Redbridge 005C,10.666,0.068,0.051,9.937,-0.844,0.018,21.127,26.029,0.101,0.121,-0.379,0.263,-0.168,1.445,-0.066,1.113
