LSOA Code,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against the Person,lsoa11cd,lsoa11nm,IMDScore,IncScore,EmpScore,EduScore,HDDScore,CriScore,BHSScore,EnvScore,IDCScore,IDOScore,CYPScore,ASScore,GBScore,WBScore,IndScore,OutScore
E01000006,7,13,6,4,0,5,11,6,14,42,E01000006,Barking and Dagenham 016A,19.837,0.117,0.059,14.798,-0.359,-0.147,45.171,26.888,0.155,0.162,-0.366,0.325,-0.4,5.59,0.11,0.969
E01000007,21,20,67,6,6,29,58,150,32,130,E01000007,Barking and Dagenham 015A,31.576,0.207,0.107,11.385,-0.027,0.846,50.42,25.995,0.253,0.371,-0.133,0.251,-0.951,6.897,-0.28,1.324
E01000008,15,17,17,3,0,14,6,53,40,48,E01000008,Barking and Dagenham 015B,37.596,0.265,0.151,25.506,0.25,0.353,45.413,30.233,0.298,0.468,0.129,0.384,-0.498,5.736,-0.587,1.84
E01000009,14,14,23,2,1,16,31,67,20,82,E01000009,Barking and Dagenham 016B,32.844,0.187,0.109,15.713,0.454,0.895,48.119,28.601,0.194,0.383,0.101,0.277,-1.424,6.643,-0.107,1.37
E01000011,8,4,8,1,0,1,4,10,12,43,E01000011,Barking and Dagenham 016C,30.679,0.167,0.081,22.519,-0.137,0.526,52.948,39.857,0.189,0.362,0.273,0.334,-0.337,6.689,0.652,1.195
E01000012,9,10,17,1,2,9,4,16,21,60,E01000012,Barking and Dagenham 015D,34.714,0.239,0.096,19.774,-0.056,0.542,56.507,36.881,0.299,0.331,0.378,0.283,-0.12,6.974,0.433,1.331
E01000013,25,18,19,3,2,18,26,95,21,80,E01000013,Barking and Dagenham 013A,38.997,0.213,0.145,24.003,0.67,1.199,45.252,30.424,0.243,0.265,-0.257,0.41,-0.733,5.916,0.345,0.931
E01000014,14,12,12,3,0,7,5,5,16,62,E01000014,Barking and Dagenham 013B,35.67,0.201,0.135,31.501,0.35,0.825,46.135,25.122,0.203,0.28,0.142,0.438,-0.465,5.82,-0.041,1.004
E01000015,13,13,9,0,3,0,4,10,20,41,E01000015,Barking and Dagenham 009A,33.632,0.216,0.123,26.013,0.025,0.372,50.4,25.696,0.25,0.31,0.11,0.391,-0.591,6.581,0.196,0.715
E01000016,7,9,5,1,0,2,2,15,18,23,E01000016,Barking and Dagenham 009B,32.839,0.199,0.122,28.996,0.373,0.528,43.772,24.95,0.251,0.267,-0.18,0.448,-0.7,5.68,0.103,0.799
E01000017,8,14,4,2,0,5,3,15,11,34,E01000017,Barking and Dagenham 009C,39.004,0.25,0.169,22.899,0.694,0.317,45.929,27.688,0.318,0.293,-0.3,0.403,-0.761,6.045,0.28,0.773
E01000018,12,9,3,3,0,5,3,11,15,66,E01000018,Barking and Dagenham 009D,33.406,0.212,0.136,26.358,0.273,0.457,43.512,25.659,0.284,0.236,-0.126,0.419,-0.946,5.803,0.149,0.797
E01000019,6,17,2,2,1,3,2,9,17,21,E01000019,Barking and Dagenham 023A,33.62,0.194,0.138,26.111,0.477,0.645,41.248,26.826,0.196,0.289,-0.049,0.41,-1.027,5.506,0.102,0.973
E01000020,11,14,3,2,0,8,0,13,13,46,E01000020,Barking and Dagenham 023B,36.035,0.216,0.131,24.184,0.76,0.651,43.518,30.078,0.231,0.338,-0.046,0.391,-0.91,5.783,0.343,0.899
E01000021,8,11,13,2,3,4,1,13,19,59,E01000021,Barking and Dagenham 008A,38.888,0.23,0.136,31.637,0.418,0.559,45.544,44.214,0.291,0.352,0.451,0.401,-1.36,6.238,0.895,1.042
E01000022,5,6,1,1,0,2,0,3,11,37,E01000022,Barking and Dagenham 008B,34.413,0.195,0.139,27.111,0.427,0.506,44.277,30.435,0.248,0.231,0.122,0.401,-0.623,5.695,0.397,0.84
E01000024,5,7,3,2,0,4,5,11,13,18,E01000024,Barking and Dagenham 008D,29.339,0.155,0.1,29.298,0.263,0.244,45.704,29.869,0.156,0.269,0.329,0.395,-0.575,5.852,0.37,0.836
E01000025,7,8,4,0,0,2,3,7,18,32,E01000025,Barking and Dagenham 008E,36.702,0.219,0.138,25.691,0.395,0.837,47.029,28.042,0.278,0.286,-0.258,0.424,-0.448,5.916,0.227,0.894
E01000027,28,16,5,1,0,11,4,25,29,68,E01000027,Barking and Dagenham 001A,37.347,0.216,0.146,38.122,0.148,1.042,44.976,20.329,0.276,0.231,0.592,0.44,-0.478,5.66,-0.08,0.597
E01000028,9,7,7,3,0,4,4,10,20,60,E01000028,Barking and Dagenham 001B,40.078,0.26,0.155,27.699,1.138,-0.111,48.625,16.282,0.269,0.431,0.165,0.401,-0.427,6.135,-0.402,0.551
E01000029,6,14,2,1,0,6,2,7,21,30,E01000029,Barking and Dagenham 001C,22.503,0.113,0.075,17.349,-0.28,0.35,47.51,21.974,0.126,0.145,-0.189,0.337,0.44,4.609,-0.021,0.684
E01000030,20,18,4,3,4,21,15,29,38,84,E01000030,Barking and Dagenham 001D,38.415,0.264,0.162,38.753,0.016,0.499,44.592,20.993,0.344,0.253,0.698,0.429,-1.396,6.084,-0.05,0.624
E01000031,16,8,3,1,2,9,4,22,29,62,E01000031,Barking and Dagenham 002A,22.672,0.126,0.075,12.953,0.046,0.919,34.14,27.703,0.168,0.197,-0.446,0.311,-1.156,4.694,0.137,1.0
E01000032,10,13,10,1,3,14,34,51,15,55,E01000032,Barking and Dagenham 002B,29.958,0.146,0.106,23.035,0.095,0.913,39.922,38.369,0.169,0.191,-0.176,0.393,-0.649,5.126,0.789,0.763
E01000033,8,6,3,0,0,1,4,9,11,42,E01000033,Barking and Dagenham 006A,37.978,0.257,0.136,32.037,0.278,0.162,55.686,21.763,0.345,0.252,0.08,0.449,0.569,5.286,-0.02,0.661
E01000034,9,2,10,6,0,4,4,9,9,40,E01000034,Barking and Dagenham 003A,35.895,0.216,0.147,33.858,0.661,0.302,45.083,18.01,0.249,0.313,0.39,0.429,0.098,4.909,-0.235,0.553
E01000035,18,30,22,6,3,15,14,45,29,74,E01000035,Barking and Dagenham 010A,26.175,0.15,0.092,25.536,0.397,0.242,39.025,23.071,0.221,0.189,0.239,0.371,-0.574,4.963,0.055,0.68
E01000036,7,15,4,1,2,12,3,15,19,51,E01000036,Barking and Dagenham 010B,19.27,0.112,0.073,15.969,-0.185,0.386,31.724,27.612,0.169,0.116,-0.78,0.364,-1.142,4.387,0.359,0.626
E01000037,8,9,9,3,0,12,4,19,11,40,E01000037,Barking and Dagenham 003B,17.988,0.096,0.101,20.288,-0.504,-0.067,29.715,19.057,0.128,0.107,-0.025,0.35,-0.341,3.504,-0.195,0.62
E01000038,6,8,3,1,0,1,3,21,10,23,E01000038,Barking and Dagenham 003C,19.646,0.127,0.079,18.702,-0.103,0.204,27.945,27.001,0.204,0.164,-0.46,0.374,-1.163,3.881,0.051,1.051
E01000039,9,9,6,0,0,1,3,4,10,22,E01000039,Barking and Dagenham 003D,22.288,0.127,0.074,19.753,0.173,0.092,42.779,17.527,0.165,0.196,-0.022,0.344,0.477,3.899,-0.277,0.547
E01000040,13,12,17,7,3,11,6,20,22,54,E01000040,Barking and Dagenham 019A,34.608,0.218,0.123,31.332,0.155,0.607,45.801,29.323,0.262,0.317,0.382,0.408,-1.724,6.313,0.038,1.27
E01000041,3,8,2,2,1,8,2,6,17,34,E01000041,Barking and Dagenham 017A,33.173,0.172,0.105,33.867,0.349,0.432,48.606,33.127,0.198,0.225,0.142,0.458,-0.112,5.698,0.5,0.897
E01000042,11,11,8,1,1,15,5,13,27,37,E01000042,Barking and Dagenham 017B,41.573,0.263,0.164,31.45,0.526,0.263,57.015,24.75,0.286,0.365,0.335,0.414,0.213,6.32,-0.097,1.039
E01000043,6,20,6,1,1,19,4,9,23,34,E01000043,Barking and Dagenham 019B,28.075,0.147,0.085,28.946,0.044,0.574,42.921,33.853,0.165,0.247,0.071,0.423,-1.015,5.735,0.101,1.548
E01000044,5,12,9,0,2,14,0,9,14,42,E01000044,Barking and Dagenham 016D,28.389,0.133,0.079,22.263,-0.41,1.077,42.638,44.13,0.171,0.178,0.18,0.344,-1.632,5.838,0.762,1.326
E01000045,37,24,5,5,2,16,5,77,34,64,E01000045,Barking and Dagenham 017C,35.688,0.188,0.125,24.013,0.279,1.214,44.514,35.245,0.217,0.267,0.053,0.378,-1.148,6.012,0.165,1.577
E01000046,13,8,6,1,2,2,1,10,22,19,E01000046,Barking and Dagenham 017D,29.763,0.17,0.111,28.185,0.222,-0.026,45.338,30.26,0.208,0.249,-0.104,0.434,-0.439,5.667,0.405,0.81
E01000049,18,12,12,2,2,5,7,140,37,45,E01000049,Barking and Dagenham 021C,41.172,0.29,0.143,27.852,0.409,0.376,55.298,26.588,0.335,0.393,0.089,0.411,-0.05,6.587,-0.678,1.633
E01000050,7,12,12,0,2,6,10,23,14,52,E01000050,Barking and Dagenham 019C,34.701,0.176,0.114,22.642,0.61,0.74,48.003,36.588,0.152,0.325,0.138,0.354,-0.747,6.349,0.341,1.44
E01000051,5,5,3,1,1,3,5,9,7,12,E01000051,Barking and Dagenham 021D,36.941,0.234,0.13,28.197,0.391,0.859,45.996,27.521,0.322,0.309,0.048,0.418,-0.538,5.86,-0.108,1.283
E01000052,16,13,10,5,1,6,16,9,39,47,E01000052,Barking and Dagenham 019D,33.284,0.188,0.111,27.403,-0.153,0.335,51.774,38.532,0.212,0.294,0.433,0.362,-0.105,6.145,0.272,1.677
E01000053,8,22,8,4,2,5,11,18,24,44,E01000053,Barking and Dagenham 020A,40.044,0.229,0.126,27.703,0.701,1.217,49.479,26.503,0.279,0.331,0.221,0.394,-0.382,6.228,-0.032,1.114
E01000054,10,22,4,0,2,6,2,10,19,30,E01000054,Barking and Dagenham 018A,29.788,0.18,0.096,26.697,0.198,0.514,42.507,31.481,0.244,0.222,-0.079,0.418,-0.95,5.655,0.418,0.899
E01000055,19,7,5,1,2,10,2,7,14,67,E01000055,Barking and Dagenham 018B,30.898,0.211,0.114,27.143,0.126,0.047,43.185,29.369,0.295,0.277,0.102,0.403,-0.94,5.74,0.186,1.069
E01000056,13,14,2,2,5,16,13,37,57,72,E01000056,Barking and Dagenham 018C,35.903,0.197,0.144,25.304,0.455,0.485,51.736,23.506,0.225,0.245,-0.32,0.426,-0.044,6.043,-0.084,0.912
E01000057,20,6,4,3,2,14,20,28,19,33,E01000057,Barking and Dagenham 012A,32.887,0.196,0.118,31.462,0.097,0.644,43.725,30.046,0.254,0.212,0.61,0.375,-1.757,5.983,0.076,1.281
E01000058,6,10,2,5,1,9,6,11,18,41,E01000058,Barking and Dagenham 018D,31.763,0.199,0.117,25.845,0.147,0.358,46.251,27.809,0.25,0.32,0.117,0.388,-0.597,5.954,0.194,0.919
E01000059,7,16,2,2,0,2,4,2,8,25,E01000059,Barking and Dagenham 013C,32.331,0.176,0.129,28.14,0.136,0.414,45.241,32.699,0.194,0.256,0.113,0.411,-0.655,5.86,0.557,0.741
E01000060,19,12,11,4,3,24,28,99,21,75,E01000060,Barking and Dagenham 006B,36.154,0.202,0.129,25.54,0.282,1.109,48.53,24.729,0.244,0.265,0.047,0.394,-0.3,5.959,-0.393,1.316
E01000061,24,5,10,6,1,21,8,24,26,94,E01000061,Barking and Dagenham 006C,46.283,0.303,0.186,39.776,1.013,0.145,49.627,15.967,0.359,0.47,0.267,0.49,0.008,5.64,-0.551,0.651
E01000062,17,13,8,1,0,8,2,15,21,50,E01000062,Barking and Dagenham 006D,26.669,0.143,0.088,30.73,-0.143,0.558,45.088,20.153,0.181,0.208,0.444,0.393,-0.381,5.563,-0.236,0.776
E01000063,7,8,2,4,0,7,3,7,18,41,E01000063,Barking and Dagenham 004A,33.371,0.181,0.124,37.624,0.286,0.342,41.886,35.452,0.217,0.2,0.661,0.424,-1.005,5.579,0.525,1.056
E01000064,15,17,8,2,1,10,13,36,15,68,E01000064,Barking and Dagenham 006E,35.283,0.208,0.13,24.438,0.39,0.212,50.054,34.175,0.257,0.236,-0.184,0.407,-0.014,5.738,0.577,0.845
E01000065,8,8,2,3,0,8,12,21,15,45,E01000065,Barking and Dagenham 007A,39.89,0.228,0.173,26.185,0.817,0.324,47.453,29.31,0.245,0.311,0.076,0.397,-1.241,6.489,0.188,1.061
E01000066,4,12,15,2,0,3,1,7,26,22,E01000066,Barking and Dagenham 011A,25.763,0.147,0.097,18.294,0.054,-0.273,50.656,17.916,0.143,0.263,-0.527,0.374,0.145,5.535,-0.359,0.682
E01000067,11,16,4,1,1,6,7,8,27,46,E01000067,Barking and Dagenham 011B,20.973,0.132,0.066,15.99,-0.388,0.381,42.456,21.711,0.162,0.242,-0.715,0.361,-0.579,5.391,-0.487,1.136
E01000068,20,22,8,1,1,4,4,18,22,42,E01000068,Barking and Dagenham 016E,25.603,0.123,0.075,16.187,0.167,0.946,41.502,31.382,0.128,0.261,-0.472,0.348,-0.316,5.026,0.181,1.248
E01000069,6,10,4,0,1,3,7,7,20,39,E01000069,Barking and Dagenham 011C,16.375,0.087,0.07,16.481,-0.626,0.032,31.781,28.36,0.089,0.182,-0.699,0.366,-1.295,4.444,0.193,0.974
E01000070,14,30,45,6,3,16,24,52,34,61,E01000070,Barking and Dagenham 011D,21.038,0.11,0.077,14.434,-0.442,0.84,35.596,27.639,0.121,0.178,-0.699,0.344,-1.096,4.835,-0.082,1.271
E01000071,9,18,4,3,1,4,14,26,17,49,E01000071,Barking and Dagenham 011E,18.848,0.13,0.058,14.114,-0.261,-0.155,40.981,22.064,0.158,0.247,-0.558,0.332,-0.873,5.389,-0.173,0.886
E01000072,17,12,25,4,4,15,16,34,36,100,E01000072,Barking and Dagenham 017E,41.016,0.241,0.138,34.242,0.478,1.197,46.957,30.082,0.29,0.308,0.315,0.442,-1.006,6.336,0.114,1.235
E01000073,19,17,4,2,1,8,5,8,21,32,E01000073,Barking and Dagenham 012B,38.757,0.209,0.135,35.14,0.57,1.346,43.442,23.636,0.237,0.325,0.367,0.444,-0.946,5.788,0.074,0.71
E01000074,13,12,1,2,0,9,2,7,23,36,E01000074,Barking and Dagenham 012C,35.044,0.234,0.128,32.398,0.461,0.005,47.408,22.806,0.287,0.277,0.418,0.412,-0.53,6.065,-0.074,0.837
E01000075,20,9,6,2,2,18,31,36,30,44,E01000075,Barking and Dagenham 012D,36.999,0.196,0.118,36.347,0.136,1.057,44.869,39.815,0.279,0.225,0.472,0.44,-0.45,5.597,0.549,1.375
E01000076,7,13,7,2,1,9,7,15,22,43,E01000076,Barking and Dagenham 012E,36.246,0.208,0.148,36.193,0.097,0.287,49.87,27.02,0.211,0.269,0.181,0.472,-0.193,6.01,0.169,0.892
E01000077,14,12,2,3,0,11,17,17,20,48,E01000077,Barking and Dagenham 008F,41.032,0.251,0.159,33.494,0.725,0.487,44.143,35.02,0.294,0.318,0.058,0.463,-1.411,6.019,0.487,1.091
E01000078,15,9,3,0,1,13,11,16,11,55,E01000078,Barking and Dagenham 007B,35.033,0.228,0.128,33.668,0.035,0.467,44.311,33.091,0.322,0.238,0.359,0.431,-1.582,6.066,0.399,1.073
E01000079,11,7,8,4,0,3,2,12,15,21,E01000079,Barking and Dagenham 009E,34.522,0.227,0.141,24.526,0.045,0.253,48.007,29.325,0.252,0.332,-0.246,0.413,-0.354,5.952,0.275,0.94
E01000080,14,8,1,3,2,14,4,4,12,50,E01000080,Barking and Dagenham 007C,33.185,0.19,0.146,26.379,0.445,0.145,45.385,24.492,0.221,0.247,-0.177,0.424,-0.713,5.922,-0.068,0.984
E01000081,14,5,5,3,0,3,3,4,11,39,E01000081,Barking and Dagenham 007D,30.608,0.162,0.116,30.952,0.225,0.192,43.718,32.758,0.207,0.217,0.104,0.437,-0.787,5.731,0.419,1.009
E01000082,9,8,11,3,2,14,7,22,23,51,E01000082,Barking and Dagenham 007E,27.895,0.158,0.113,31.053,-0.111,-0.221,43.176,30.006,0.171,0.224,0.174,0.43,-1.197,5.841,0.248,1.037
E01000083,9,12,3,3,0,7,6,19,15,40,E01000083,Barking and Dagenham 007F,34.377,0.196,0.134,27.072,0.361,0.434,44.245,35.395,0.249,0.237,0.064,0.407,-0.899,5.871,0.49,1.118
E01000084,12,15,13,1,1,12,19,49,14,52,E01000084,Barking and Dagenham 013D,39.815,0.229,0.141,36.839,0.338,1.309,43.432,28.534,0.266,0.269,0.545,0.435,-1.011,5.82,0.127,1.086
E01000085,11,25,10,4,1,6,12,13,15,61,E01000085,Barking and Dagenham 013E,35.154,0.189,0.124,36.259,-0.227,1.036,46.139,32.465,0.197,0.305,0.347,0.455,-1.424,6.327,0.311,1.156
E01000086,4,12,4,0,0,8,9,5,15,42,E01000086,Barking and Dagenham 013F,38.156,0.218,0.142,28.503,0.89,0.868,42.757,26.281,0.236,0.391,0.144,0.411,-0.868,5.644,0.192,0.78
E01000087,26,25,17,1,1,15,11,32,81,47,E01000087,Barking and Dagenham 020B,34.357,0.226,0.131,27.171,0.046,0.135,48.565,31.357,0.263,0.274,-0.19,0.432,-0.209,5.846,0.372,0.968
E01000088,8,14,10,3,2,10,12,12,21,67,E01000088,Barking and Dagenham 020C,28.849,0.147,0.1,20.313,0.264,0.552,44.005,34.525,0.177,0.181,-0.311,0.378,-0.913,5.848,0.353,1.268
E01000089,8,14,4,1,0,2,2,8,13,40,E01000089,Barking and Dagenham 020D,28.968,0.156,0.092,25.246,-0.154,0.189,47.254,40.955,0.216,0.187,-0.1,0.407,-0.138,5.547,0.746,1.104
E01000090,8,12,4,5,1,8,11,23,23,50,E01000090,Barking and Dagenham 020E,28.317,0.169,0.091,22.024,-0.187,0.7,45.475,29.464,0.25,0.161,-0.161,0.382,-0.458,5.7,0.19,1.071
E01000091,8,6,7,1,2,8,6,13,32,63,E01000091,Barking and Dagenham 022A,42.183,0.256,0.175,32.562,0.324,0.994,48.266,23.563,0.27,0.305,0.119,0.45,-0.918,6.49,-0.327,1.17
E01000093,10,16,6,2,1,19,9,26,29,88,E01000093,Barking and Dagenham 022B,46.922,0.26,0.169,27.955,0.842,1.073,49.657,43.57,0.32,0.33,0.263,0.391,-1.069,6.797,0.601,1.582
E01000094,11,10,4,2,0,7,3,14,49,36,E01000094,Barking and Dagenham 022C,28.182,0.167,0.094,10.866,-0.036,0.524,64.961,20.692,0.191,0.3,-0.239,0.26,0.685,6.369,-0.09,0.648
E01000095,27,36,11,13,3,20,20,188,100,86,E01000095,Barking and Dagenham 018E,32.254,0.196,0.095,22.314,-0.111,0.944,63.151,18.657,0.262,0.278,0.161,0.348,0.802,5.773,-0.518,0.888
E01000096,10,9,3,3,4,13,13,31,58,67,E01000096,Barking and Dagenham 022D,40.926,0.259,0.135,34.307,0.008,1.284,48.317,29.982,0.345,0.245,0.444,0.426,-0.618,6.289,-0.184,1.553
E01000097,19,18,3,3,1,10,5,14,21,44,E01000097,Barking and Dagenham 023C,38.009,0.223,0.131,32.926,0.808,0.468,47.096,28.566,0.232,0.351,0.264,0.436,-0.66,6.141,0.132,1.08
E01000098,9,15,4,4,1,8,3,94,14,36,E01000098,Barking and Dagenham 023D,39.405,0.239,0.159,31.389,0.443,0.911,43.482,28.673,0.26,0.319,0.091,0.443,-1.328,5.903,0.123,1.104
E01000099,5,12,5,1,1,4,2,11,23,43,E01000099,Barking and Dagenham 023E,29.266,0.174,0.105,25.037,0.214,0.008,47.111,26.795,0.2,0.301,-0.218,0.416,-0.53,6.016,0.268,0.705
E01000100,10,15,5,1,0,10,5,7,12,39,E01000100,Barking and Dagenham 004B,31.83,0.16,0.117,29.622,0.106,0.634,42.938,38.207,0.167,0.236,0.146,0.421,-1.169,5.801,0.634,1.09
E01000101,15,17,4,2,0,6,13,24,20,38,E01000101,Barking and Dagenham 004C,40.463,0.254,0.154,28.988,0.464,0.832,43.29,37.223,0.294,0.327,-0.002,0.431,-1.048,5.811,0.313,1.53
E01000102,13,9,2,1,0,5,4,8,14,34,E01000102,Barking and Dagenham 007G,42.631,0.275,0.175,23.976,0.684,0.762,44.376,33.8,0.322,0.356,-0.181,0.403,-0.759,5.821,0.416,1.105
E01000103,3,6,11,2,0,2,2,12,19,29,E01000103,Barking and Dagenham 014A,32.894,0.18,0.113,26.208,0.427,0.58,50.872,20.068,0.236,0.275,-0.211,0.425,-0.206,6.178,-0.119,0.622
E01000104,12,12,3,1,0,16,3,44,34,68,E01000104,Barking and Dagenham 014B,34.672,0.222,0.134,31.664,0.276,0.131,50.107,18.066,0.275,0.291,0.244,0.428,-0.505,6.45,-0.309,0.646
E01000105,34,30,15,3,3,21,24,105,22,104,E01000105,Barking and Dagenham 014C,44.149,0.246,0.165,36.132,0.932,1.039,47.24,25.589,0.273,0.386,0.488,0.436,-1.693,6.527,-0.064,1.071
E01000106,24,28,5,6,4,11,8,21,46,115,E01000106,Barking and Dagenham 014D,43.523,0.275,0.167,27.219,0.636,0.786,51.428,26.265,0.316,0.343,0.309,0.377,-0.519,6.68,0.248,0.688
E01000107,6,12,2,0,1,4,1,3,9,40,E01000107,Barking and Dagenham 010C,28.332,0.151,0.095,29.324,0.579,-0.027,44.429,22.813,0.221,0.159,0.252,0.405,0.075,4.875,0.042,0.673
E01000108,9,17,8,5,1,7,5,19,17,60,E01000108,Barking and Dagenham 010D,28.166,0.171,0.104,20.596,0.158,0.183,41.045,35.136,0.275,0.14,-0.249,0.376,-1.437,5.574,0.673,0.723
E01000110,5,5,2,0,0,2,4,11,16,28,E01000110,Barking and Dagenham 002C,17.741,0.112,0.078,12.848,-0.002,-0.312,32.872,20.544,0.149,0.124,-0.707,0.328,-0.49,4.150000000000001,-0.133,0.689
E01000111,17,18,5,0,1,17,10,48,25,68,E01000111,Barking and Dagenham 002D,28.903,0.174,0.111,20.878,0.187,0.313,44.339,26.789,0.196,0.26,-0.166,0.372,-0.499,5.58,0.206,0.807
E01000112,15,15,5,1,2,8,9,28,44,45,E01000112,Barking and Dagenham 002E,24.743,0.129,0.065,18.969,-0.324,0.602,43.159,40.766,0.168,0.24,0.005,0.332,-0.993,5.773,0.815,0.93
E01000113,20,22,15,1,1,14,11,29,17,58,E01000113,Barking and Dagenham 002F,25.268,0.152,0.081,16.983,-0.122,0.708,42.208,26.945,0.213,0.187,-0.041,0.315,-0.438,5.23,0.087,1.001
E01000114,12,15,10,1,1,13,15,40,34,45,E01000114,Barking and Dagenham 004E,23.288,0.119,0.074,19.124,-0.117,0.423,40.755,34.274,0.167,0.144,-0.406,0.374,-0.98,5.421,0.535,0.941
E01000115,2,12,1,2,0,4,3,5,27,20,E01000115,Barnet 009A,6.227,0.055,0.046,3.734,-1.526,-0.545,17.004,18.838,0.073,0.058,-1.576,0.229,-0.658,1.386,-0.444,0.849
E01000116,8,10,2,0,0,6,8,18,20,17,E01000116,Barnet 009B,7.79,0.074,0.049,3.87,-1.412,-0.43,19.173,18.248,0.063,0.142,-0.957,0.208,-0.514,1.662,-0.107,0.403
E01000117,10,22,1,1,0,6,4,12,33,28,E01000117,Barnet 010A,9.642,0.071,0.062,6.077,-1.141,-0.168,21.506,17.66,0.051,0.09,-0.534,0.213,-0.484,2.106,-0.161,0.417
E01000118,9,16,5,0,1,2,4,5,35,28,E01000118,Barnet 010B,9.812,0.077,0.059,8.59,-1.679,-0.206,22.339,16.261,0.094,0.099,-0.43,0.247,-0.425,2.189,-0.306,0.443
E01000119,6,12,1,10,2,7,3,4,22,7,E01000119,Barnet 009C,11.589,0.078,0.054,3.312,-1.884,0.627,23.519,21.949,0.066,0.135,-1.424,0.217,-0.177,1.974,-0.158,0.86
E01000120,3,11,1,0,0,2,3,6,19,28,E01000120,Barnet 009D,5.902,0.061,0.036,4.436,-1.58,-0.568,18.977,14.872,0.048,0.099,-1.301,0.235,-0.571,1.697,-0.584,0.561
E01000121,9,6,0,1,0,4,3,2,20,29,E01000121,Barnet 010C,36.203,0.262,0.194,22.583,0.261,0.336,37.522,13.339,0.294,0.293,0.176,0.348,-0.02,4.176,-0.853,0.571
E01000122,3,5,1,0,1,1,1,7,34,10,E01000122,Barnet 009E,10.152,0.071,0.055,2.257,-1.246,-0.622,30.659,21.817,0.053,0.138,-1.793,0.2,0.315,2.117,0.057,0.543
E01000123,5,22,7,1,0,8,3,16,34,29,E01000123,Barnet 010D,11.048,0.075,0.049,8.519,-1.062,-0.684,34.632,15.659,0.114,0.116,-0.577,0.262,0.381,2.725,-0.298,0.372
E01000124,16,13,5,3,1,16,7,138,47,40,E01000124,Barnet 010E,23.589,0.166,0.128,14.674,-0.593,0.491,30.587,20.768,0.191,0.278,0.17,0.248,-1.194,4.25,-0.365,0.96
E01000126,8,5,9,2,2,7,1,31,32,49,E01000126,Barnet 026A,33.625,0.243,0.152,13.21,-0.077,-0.164,51.181,24.433,0.27,0.467,-0.279,0.298,0.165,5.553,0.15,0.672
E01000127,6,17,2,2,1,6,3,12,13,24,E01000127,Barnet 024B,27.543,0.193,0.129,21.348,-0.495,0.424,37.588,22.92,0.224,0.327,-0.069,0.366,-1.365,5.104,-0.086,0.862
E01000128,9,21,5,5,1,4,7,5,27,32,E01000128,Barnet 024C,27.055,0.171,0.103,22.529,-0.346,0.957,34.708,27.146,0.236,0.209,-0.188,0.389,-0.675,4.558,0.033,1.087
E01000129,25,14,12,2,1,20,14,73,25,83,E01000129,Barnet 024D,31.0,0.214,0.11,23.973,-0.148,1.004,38.657,25.543,0.176,0.549,-0.151,0.4,-1.385,5.236,-0.263,1.277
E01000130,8,17,4,1,0,6,2,10,26,41,E01000130,Barnet 021A,30.863,0.185,0.118,19.118,-0.331,0.839,43.475,35.288,0.203,0.262,-0.138,0.35,-0.245,5.184,0.665,0.757
E01000131,9,17,1,0,0,2,4,9,30,23,E01000131,Barnet 024E,20.904,0.116,0.067,10.9,-0.802,1.133,39.033,20.979,0.11,0.185,-0.764,0.308,-0.107,4.522,-0.583,1.139
E01000132,10,10,2,2,0,3,0,7,14,51,E01000132,Barnet 021B,25.53,0.187,0.106,22.698,-0.464,0.309,35.397,25.837,0.232,0.329,0.087,0.361,-1.56,4.885,-0.015,1.039
E01000133,5,11,1,2,0,4,7,5,19,23,E01000133,Barnet 021C,30.774,0.188,0.159,24.516,-0.059,0.065,40.079,26.72,0.153,0.31,-0.047,0.395,-0.509,5.03,-0.005,1.101
E01000134,8,10,5,1,1,4,1,4,17,34,E01000134,Barnet 024F,24.669,0.184,0.093,20.26,-0.579,-0.195,42.152,27.225,0.212,0.412,0.181,0.322,-0.817,5.537,0.289,0.71
E01000135,7,37,1,0,0,6,8,11,20,14,E01000135,Barnet 038A,12.523,0.076,0.048,4.357,-1.087,0.385,25.516,33.536,0.089,0.089,-0.579,0.171,-0.465,2.907,0.226,1.363
E01000136,7,30,1,1,2,11,13,11,20,15,E01000136,Barnet 038B,8.960000000000003,0.037,0.02,0.946,-1.93,0.188,27.615,36.198,0.023,0.076,-1.272,0.109,0.048,2.272,0.574,1.033
E01000137,8,5,1,5,0,4,4,13,30,37,E01000137,Barnet 041A,28.786,0.235,0.145,8.140000000000002,0.077,0.348,33.329,22.835,0.301,0.301,-0.476,0.245,-0.299,4.02,-0.312,1.096
E01000138,5,25,3,1,0,6,3,12,26,26,E01000138,Barnet 040A,27.86,0.178,0.127,8.449,-0.547,1.066,35.73,31.895,0.217,0.199,-0.775,0.276,-0.283,4.318,0.277,1.157
E01000139,7,17,4,1,0,5,13,10,24,21,E01000139,Barnet 041B,12.388,0.082,0.041,4.481,-1.326,0.61,25.608,29.28,0.11,0.136,-0.573,0.175,-0.682,3.186,0.105,1.181
E01000140,9,16,2,0,0,12,2,22,22,39,E01000140,Barnet 041C,16.817,0.118,0.078,9.457,-0.914,-0.026,30.188,30.341,0.175,0.152,0.001,0.177,-1.003,4.13,0.378,0.865
